case_id,anomalies
1-750090643,"accepted  in  progress occurred before accepted  wait, queued  awaiting  assignment; accepted  wait occurred after accepted  in  progress; queued  awaiting  assignment occurred after accepted  in  progress"
1-750106623,"accepted  in  progress occurred before accepted  assigned, queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress, queued  awaiting  assignment"
1-750411941,accepted  in  progress occurred before accepted  wait; accepted  wait occurred after accepted  in  progress
1-750499270,"accepted  in  progress occurred before accepted  assigned, queued  awaiting  assignment; accepted  wait occurred before accepted  in  progress; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-750717620,accepted  assigned occurred before accepted  in  progress; accepted  in  progress occurred after accepted  assigned; queued  awaiting  assignment occurred after accepted  in  progress
1-752141231,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
1-752294640,queued  awaiting  assignment occurred before accepted  assigned; accepted  assigned occurred after queued  awaiting  assignment
1-752294659,"accepted  in  progress occurred before accepted  assigned, queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-752828161,"accepted  in  progress occurred before accepted  assigned, queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-753245663,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
1-753487360,"accepted  in  progress occurred before accepted  wait, queued  awaiting  assignment; accepted  wait occurred after accepted  in  progress; queued  awaiting  assignment occurred after accepted  in  progress"
1-753504966,"accepted  in  progress occurred before accepted  wait, queued  awaiting  assignment; accepted  wait occurred after accepted  in  progress; queued  awaiting  assignment occurred after accepted  in  progress"
1-754168350,"queued  awaiting  assignment occurred before accepted  assigned; accepted  in  progress occurred before accepted  assigned; accepted  assigned occurred after accepted  in  progress, queued  awaiting  assignment"
1-754350709,accepted  wait occurred before accepted  in  progress; accepted  in  progress occurred after accepted  wait
1-754949761,"accepted  in  progress occurred before accepted  assigned, accepted  wait, queued  awaiting  assignment; accepted  wait occurred after accepted  in  progress; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-756110987,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
1-756296231,accepted  in  progress occurred before accepted  assigned; accepted  assigned occurred after accepted  in  progress
1-756484463,accepted  wait occurred before accepted  in  progress; accepted  in  progress occurred after accepted  wait
1-756651699,"accepted  assigned occurred before accepted  in  progress; accepted  wait occurred before accepted  in  progress; accepted  in  progress occurred after accepted  assigned, accepted  wait"
1-756998975,accepted  in  progress occurred before random activity; random activity occurred after accepted  in  progress
1-757096237,"accepted  in  progress occurred before accepted  assigned, accepted  wait; accepted  wait occurred after accepted  assigned, accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-757113161,"random activity occurred before queued  awaiting  assignment; accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress, random activity"
1-757154661,"queued  awaiting  assignment occurred before accepted  assigned; accepted  in  progress occurred before accepted  assigned; accepted  assigned occurred after accepted  in  progress, queued  awaiting  assignment"
1-757480343,queued  awaiting  assignment occurred before accepted  assigned; accepted  in  progress occurred after accepted  assigned; accepted  assigned occurred after queued  awaiting  assignment
1-757671208,accepted  in  progress occurred before accepted  wait; accepted  wait occurred after accepted  in  progress
1-758488261,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
